"","article","sentence"
"815","Numeracy and Decision Making_2006_A+58","This study was administered as part of a series of paper-and- pencil experiments, with the numeracy measure and demo- graphic items presented last."
"816","Numeracy and Decision Making_2006_A+59","This same order (decision tasks, numeracy measure, and demographic items) was used for all the studies reported in this article."
"817","Numeracy and Decision Making_2006_A+61","Because the distribution was highly skewed, we performed a median split on the measure."
"818","Numeracy and Decision Making_2006_A+62","Note that the results for the numeracy measure were similar in Studies 2 through 4, and we used a median split for analyses in those studies as well (sample sizes were small in two of our studies, making quartile and other splits less viable)."
"819","Numeracy and Decision Making_2006_A+63","Thus, our analyses compared the participants who were most numerate (9, 10, or 11 correct) with those who were less numerate (2–8 items correct)."
"820","Numeracy and Decision Making_2006_A+64","Although we recognize that dichotomous splits are associated with problems such as loss of power, the skewness in the variable justiﬁes our choice (MacCallum, Zhang, Preacher, & Rucker, 2002)."
"821","Numeracy and Decision Making_2006_A+65","Results with quartile splits of numeracy were similar to those with median splits in Studies 1 and 4, which had the largest sample sizes."
"822","Numeracy and Decision Making_2006_A+66","In a repeated measures analysis of variance (ANOVA) of the performance ratings, the usual framing effect was found."
"823","Numeracy and Decision Making_2006_A+67","The more positive frame elicited more positive ratings: Mean per- formance ratings were 0.7 and —0.1 for the percentage-correct (positive) and percentage-incorrect (negative) frames, respec- tively, F(1, 96) 5 26.3, p < .0001, Z2 5 .54."
"824","Numeracy and Decision Making_2006_A+69","The interaction of numeracy with frame, however, was significant, F(1, 96) 5 5.6, p < .05, Z2 5 .11."
"825","Numeracy and Decision Making_2006_A+72","This ﬁnding is consistent with the highly numerate being 1A numeracy quartile split showed a stronger framing effect among the less numerate."
"826","Numeracy and Decision Making_2006_A+73","Mean differences between positive and negative frames were 1.3, 0.7, 0.5, and 0.3 for the lowest through highest quartiles, respectively."
"827","Numeracy and Decision Making_2006_A+80","Numeracy and percentage (10% of 100) versus frequentistic (10 out of 100) representations of risk."
"828","Numeracy and Decision Making_2006_A+81","Error bars represent standard errors of the mean. more likely to transform numbers from one frame to a different frame."
"829","Numeracy and Decision Making_2006_A+82","STUDY 2: NUMERACY AND RISK REPRESENTATION Dehaene (1997) suggested that although children spend con- siderable time learning the mechanics of math, they may not really understand how to apply those mechanics even in adult- hood."
"830","Numeracy and Decision Making_2006_A+83","We propose, however, that the likelihood of such appli- cation increases with numeracy, so that the highly numerate should ﬁnd alternative frames of the same number more equally inﬂuential in judgments compared with the less numerate."
"831","Numeracy and Decision Making_2006_A+84","In Study 2, we tested this hypothesis using a paradigm developed by Slovic, Monahan, and MacGregor (2000)."
"832","Numeracy and Decision Making_2006_A+85","They conducted studies in which experienced forensic psychologists and psy- chiatrists were asked to judge the likelihood that a mental pa- tient would commit an act of violence."
"833","Numeracy and Decision Making_2006_A+86","Clinicians told that ‘‘20 out of every 100’’ similar patients would likely commit an act of violence (a frequency frame) were more likely to refuse to dis- charge the patient than were clinicians told that the patient had a ‘‘20% chance’’ of committing an act of violence (a percentage frame)."
"834","Numeracy and Decision Making_2006_A+87","We hypothesized that highly numerate participants, presented with a scenario similar to that used by Slovic et al. (2002), would be more likely than less numerate participants to retrieve the appropriate numerical principle and transform numbers from one format to another (i.e., 20 out of 100 5 20%)."
"835","Numeracy and Decision Making_2006_A+88","Thus, we expected that the format of presentation would affect judgments less among the more numerate than among the less numerate."
"836","Numeracy and Decision Making_2006_A+89","Method Participants were 46 volunteers from a psychology course who read the mental-patient scenario in either a frequency format (‘‘Of every 100 patients similar to Mr."
"837","Numeracy and Decision Making_2006_A+90","Jones, 10 are estimated to commit an act of violence to others during the ﬁrst several months after discharge’’) or a percentage format that used the identical wording but substituted ‘‘10% are estimated’’ for ‘‘10 are estimated.’’"
"838","Numeracy and Decision Making_2006_A+93","They also responded to the same numeracy and de- mographic items used in Study 1."
"839","Numeracy and Decision Making_2006_A+94","In addition, they reported their verbal and quantitative SAT scores, which served as a proxy measure for intelligence."
"840","Numeracy and Decision Making_2006_A+95","Results High-numeracy participants in both conditions and low-nu- meracy participants given the frequency frame rated Mr."
"841","Numeracy and Decision Making_2006_A+97","However, low-numeracy partici- pants given the percentage format rated Mr."
"842","Numeracy and Decision Making_2006_A+98","Jones as presenting a significantly lower risk (see Fig. 2); this interaction between format and numeracy was significant, F(1, 42) 5 4.0, p < .05, Z2 5 .42."
"843","Numeracy and Decision Making_2006_A+99","Is the numeracy effect due to intelligence rather than nu- meracy per se?"
"844","Numeracy and Decision Making_2006_A+100","Using SAT scores as a proxy for intelligence, we found that higher SAT scores (verbal and quantitative scores combined) were associated with greater numeracy (r 5 .26)."
"845","Numeracy and Decision Making_2006_A+101","However, after numeracy scores were regressed onto SATscores, the numeracy residuals showed a significant pattern of results similar to the pattern in Figure 2, specific contrast F(1, 30) 5 6.9, p < .05."
"846","Numeracy and Decision Making_2006_A+102","We also obtained similar results when we controlled only for SAT quantitative scores (the results were somewhat weaker) and when we controlled for SAT verbal scores."
"847","Numeracy and Decision Making_2006_A+103","We suspect that high-numeracy participants have relatively equal access to the percentage and frequency formats regardless of the format in which information is presented to them, whereas low-numeracy participants consider only the format they are given."
"848","Numeracy and Decision Making_2006_A+104","Unpublished follow-up studies by Slovic showed that representations of risk in the form of probabilities (10% of 100 patients) led to relatively benign images of one person, whereas the ‘‘equivalent’’ frequentistic representations (10 out of 100 patients) created frightening images of violent patients (e.g., ‘‘Some guy going crazy and killing someone’’)."
"849","Numeracy and Decision Making_2006_A+105","He suggested that these affect-laden images likely induced greater perceptions of risk in response to the frequency frame, compared with the probability frame (Slovic, Finucane, Peters, & MacGregor, 2004)."
"850","Numeracy and Decision Making_2006_A+106","Although we did not test this idea directly in the present study, it is possible that less numerate participants are inﬂu- enced greatly by the affective imagery elicited by the fre- quentistic format and do not have access to this affective imagery when given the percentage format."
"851","Numeracy and Decision Making_2006_A+107","At the same time, highly numerate participants may access the affect and affective imagery regardless of whether they receive information in the frequency or probability format, so that their risk perceptions do not vary by format."
"852","Numeracy and Decision Making_2006_A+108","STUDY 3: DOES COMPETING AFFECTIVE INFORMATION INFLUENCE THE LESS NUMERATE MORE THAN THE HIGHLY NUMERATE?"
"853","Numeracy and Decision Making_2006_A+109","Information in decision making appears to be processed using two different modes of thinking: deliberative and affective-ex- periential (Epstein, 1994; Loewenstein, Weber, Hsee, & Welch, 2001; Sloman, 1996)."
"854","Numeracy and Decision Making_2006_A+110","How might differences in numerical ability inﬂuence how information is processed?"
"855","Numeracy and Decision Making_2006_A+111","The deliberative mode is conscious, reason based, and rela- tively slow."
"856","Numeracy and Decision Making_2006_A+112","In order to deliberate effectively in decisions involving numbers, the individual must have the ability, moti- vation, and capacity to process numerical information accu- rately even though the logic of ‘‘mental arithmetic poses serious problems for the human brain’’ (Dehaene, 1997, p."
"857","Numeracy and Decision Making_2006_A+114","When it comes to deliberating about numbers, the highly numerate clearly have an advantage."
"858","Numeracy and Decision Making_2006_A+115","The experiential mode of thinking is primarily affective2; it is automatic, associative, and fast."
"859","Numeracy and Decision Making_2006_A+116","It is likely related to gist processing in fuzzy-trace theory (Reyna & Brainerd, 1991) and may underlie humans’ fuzzy and approxi- mate concept of number (Dehaene, 1997)."
"860","Numeracy and Decision Making_2006_A+117","One of affect’s pri- mary functions is to provide meaning and motivation to choice processes (Damasio, 1994; Peters, in press)."
"861","Numeracy and Decision Making_2006_A+118","We explored the link between numeracy and affect in Studies 3 and 4."
"862","Numeracy and Decision Making_2006_A+119","In Study 3, we provided participants with two different rep- resentations of the same number (frequency and probability) and 2Affect is deﬁned as positive and negative feelings about a stimulus (e.g., a bet). tested whether numeracy affected decisions nonetheless."
"863","Numeracy and Decision Making_2006_A+120","We also began to examine whether numerical ability may inﬂuence the affective meaning of numbers."
"864","Numeracy and Decision Making_2006_A+121","We measured both affect (the valence of feelings) and affective precision (the clarity of those feelings)."
"865","Numeracy and Decision Making_2006_A+122","Past studies have shown affective precision to pre- dict judgments independently of affect (Hsee, 1996; Mellers, Richards, & Birnbaum, 1992)."
"866","Numeracy and Decision Making_2006_A+123","We used a paradigm developed by Denes-Raj and Epstein (1994), who showed that when offered a chance to win a prize by drawing a red jelly bean from a bowl, participants often elected to draw from a bowl containing a greater absolute number, but a smaller proportion, of red beans (e.g., 9 in 100 or 9%) rather than from a bowl with fewer red beans but a better probability of winning (e.g., 1 in 10 or 10%)."
"867","Numeracy and Decision Making_2006_A+124","For these individuals, affective images of 9 winning beans in the large bowl appeared to dom- inate the image of 1 winning bean in the small bowl."
"868","Numeracy and Decision Making_2006_A+125","When in- terviewed, many participants who had made nonoptimal choices reported a conﬂict between what they objectively knew were the better odds and how they felt about the bowl that offered a greater number of winners."
"869","Numeracy and Decision Making_2006_A+126","A number of subjects indicated that the larger bowl ‘‘looked more inviting.’’"
"870","Numeracy and Decision Making_2006_A+127","Affect can be a direct ‘‘hit’’ from an object (similar to Zajonc’s, 1980, notion that affect comes before conscious deliberation), or it can be the result of prior deliberation."
"871","Numeracy and Decision Making_2006_A+128","We propose that in this task, affect as a direct hit from the number of winning beans conﬂicts with affect from thinking about the stated probability."
"872","Numeracy and Decision Making_2006_A+129","We hypothesized that compared with the less numerate, the highly numerate would be more likely to deliberate about and compare probabilities and would draw from this deliberation a more precise affective reaction that would guide their decisions."
"873","Numeracy and Decision Making_2006_A+130","Lacking a clear affective understanding of numbers, the less numerate would rely instead on readily available but less rele- vant affective sources, such as the number of winning beans."
"874","Numeracy and Decision Making_2006_A+131","Thus, we predicted that less numerate adults, compared with highly numerate adults, would draw more often from the larger, affectively appealing bowl with less favorable objective proba- bilities."
"875","Numeracy and Decision Making_2006_A+132","We also expected that affective reactions to the larger bowl, with its smaller probability of winning, would be more precise and more negative among the highly numerate than among the less numerate."
"876","Numeracy and Decision Making_2006_A+133","Method Participants (N 5 46) from Study 2 also completed Study 3 during the same session."
"877","Numeracy and Decision Making_2006_A+134","They were shown two drawings of bowls of colored and white jelly beans and told to imagine that they could select 1 bean, and if they selected a colored jelly bean, they would win $5."
"878","Numeracy and Decision Making_2006_A+135","The larger bowl, A, contained 100 jelly beans, 9 of which were colored, and was labeled as having ‘‘9% colored jelly beans’’; the smaller bowl, B, contained 10 jelly beans, 1 of which was colored, and was labeled as having ‘‘10% colored jelly beans.’’"
"879","Numeracy and Decision Making_2006_A+136","Participants were asked from which bowl they would prefer to choose (on a scale that ranged from 6, strong preference for A, on the left, to 0 in the middle, to 6, strong preference for B, on the right); preferences for A were recorded as negative numbers prior to analysis."
"880","Numeracy and Decision Making_2006_A+137","Participants were told to imagine that once they chose a bowl, it would be placed behind a screen, the beans would be mixed, and then they would draw a bean blindly from their chosen bowl."
"881","Numeracy and Decision Making_2006_A+138","After indicating their preference, participants were asked a question about their affective precision (‘‘How clear a feeling do you have about the goodness or badness of Bowl A’s 9% chance of winning?’’), which they responded to on a scale ranging from 0, completely unclear, to 6, completely clear."
"882","Numeracy and Decision Making_2006_A+139","Finally, they were asked about their affect (‘‘How good or bad does Bowl A’s 9% chance make you feel?’’), indicating their response on a 7-point scale ranging from —3, very bad, to 13, very good."
"883","Numeracy and Decision Making_2006_A+141","As in Study 2, we controlled for the effect of our proxy for intelligence."
"884","Numeracy and Decision Making_2006_A+142","In this analysis, the less numerate were still more likely to make an objectively worse choice than the highly numerate (the difference was significant when con- trolling for SAT verbal scores and was marginally significant when controlling for overall or quantitative SAT scores)."
"885","Numeracy and Decision Making_2006_A+143","Analysis of the affect variables revealed that numeracy was not significantly associated with affect about Bowl A’s 9% chance (mean affect 5 —0.5 and —1.1 for low- and high-nu- meracy participants, respectively, p 5 .13, d 5 .46)."
"886","Numeracy and Decision Making_2006_A+144","However, the less numerate had less precise feelings about the 9% chance than the highly numerate did (affective precision 5 3.7 and 5.0, respectively), t(44) 5 —2.6, p < .01, d 5 0.78."
"887","Numeracy and Decision Making_2006_A+145","STUDY 4: DO THE HIGHLY NUMERATE AND LESS NUMERATE RETRIEVE DIFFERENT AFFECT FROM PROBABILITIES AND NUMERICAL COMPARISONS?"
"888","Numeracy and Decision Making_2006_A+146","In this study, we examined whether the highly numerate may sometimes make less ‘‘rational’’ responses than the less nu- merate precisely because they focus on the detail of numbers and draw more affective meaning from numerical comparisons."
"889","Numeracy and Decision Making_2006_A+147","We used a paradigm (reported in Slovic et al., 2004) in which one group of subjects rates the attractiveness of a simple gamble (7 chances out of 36 to win $9; otherwise, win $0) on a scale from 0 through 20; a second group uses the same scale to rate a similar gamble with a small loss (7 chances out of 36 to win $9; 29 chances out of 36 to lose 5b)."
"890","Numeracy and Decision Making_2006_A+148","With this paradigm, Slovic et al. obtained data that were anomalous from the perspective of economic theory."
"891","Numeracy and Decision Making_2006_A+150","When the possible loss of 5b was added to the gamble, the mean attractiveness jumped to 14.9, and there was almost no overlap between the distributions of responses for the two groups."
"892","Numeracy and Decision Making_2006_A+151","We hypothesize that these curious ﬁndings can be explained by affect and affective precision."
"893","Numeracy and Decision Making_2006_A+152","According to this view, a probability maps relatively precisely onto the attractiveness scale, because it has an upper and lower bound and people know where a given value falls within that range."
"894","Numeracy and Decision Making_2006_A+153","The highly numerate, who are expected to deliberate more about numbers than the less numerate, should draw a more precise affective reaction from probability’s boundedness."
"895","Numeracy and Decision Making_2006_A+154","In contrast, the mapping of a dollar outcome (e.g., $9) onto the scale is less precise, reﬂecting a failure to know whether $9 is good or bad, attractive or unat- tractive."
"896","Numeracy and Decision Making_2006_A+155","Thus, the impression of the gamble offering a win of $9 and no losing payoff is dominated by the rather unattractive impression produced by the 7/36 probability of winning."
"897","Numeracy and Decision Making_2006_A+156","How- ever, adding a very small loss to the payoff dimension puts the $9 payoff in perspective (i.e., it makes the payoff more affectively precise to the subject) and gives it meaning."
"898","Numeracy and Decision Making_2006_A+157","The combination of a possible $9 gain and a possible 5b loss has a very attractive win/lose ratio, leading to a relatively precise mapping onto the upper part of the attractiveness scale."
"899","Numeracy and Decision Making_2006_A+158","Whereas the imprecise mapping of the $9 when it is not combined with a loss carries little weight, the more precise and favorable impression of the $9 in the context of the small loss carries more weight, thus leading to an increase in the overall favorability of the gamble."
"900","Numeracy and Decision Making_2006_A+159","We reasoned, however, that the ease of mapping results from the $9: —5b bet creating a perception of upper and lower bounds similar to probability’s boundedness and similar to comparing the 9% and 10% probabilities in Study 3."
"901","Numeracy and Decision Making_2006_A+160","On the basis of the results in Study 3, we hypothesized that the highly numerate would draw more affective meaning from the $9:—5b compar- ison than the less numerate would, and thus would show a greater difference in their ratings of the two bets."
"902","Numeracy and Decision Making_2006_A+161","Method Participants were 171 volunteers from a psychology depart- ment’s subject pool (54% female; mean age 5 19)."
"903","Numeracy and Decision Making_2006_A+162","In a between- subjects design, participants were asked to rate their opinion about the attractiveness of playing a bet, using a 21-point scale ranging from 0, not at all an attractive bet, to 20, extremely at- tractive bet."
"904","Numeracy and Decision Making_2006_A+163","Half of the participants responded to a bet that consisted of ‘‘7/36 chances to win $9 and 29/36 chances to win nothing’’ (the no-loss bet), and the other half of the participants responded to the bet ‘‘7/36 chances to win $9 and 29/36 chances to lose 5b’’ (the loss bet)."
"905","Numeracy and Decision Making_2006_A+164","Participants were then asked to rate their affect and affective precision toward both the $9 win and the 7/36 chance of winning, using the same scales described in Study 3."
"906","Numeracy and Decision Making_2006_A+165","They reported SAT verbal and quantitative scores and completed the numeracy scale and demographic items last."
"907","Numeracy and Decision Making_2006_A+166","Results Participants high in numeracy rated the objectively better no- loss bet as less attractive than the loss bet, t(89) 5 3.1, p < .01 Fig."
"908","Numeracy and Decision Making_2006_A+168","Numeracy and rated attractiveness of a bet with and without a small loss."
"909","Numeracy and Decision Making_2006_A+169","Error bars represent standard errors of the mean. (see Fig. 3), whereas those lower in numeracy rated the two bets the same on average."
"910","Numeracy and Decision Making_2006_A+170","A regression using the attractiveness rating as the dependent variable and bet condition (coded as no loss 5 0 and loss 5 1), numeracy (0 5 low and 1 5 high), and their interaction as independent variables revealed only a significant interaction, t(1) 5 2.2, p < .05, d 5 0.34."
"911","Numeracy and Decision Making_2006_A+171","The analysis control- ling for SATscores showed that the highly numerate who respond- ed to the loss bet rated their bet as more attractive than did the other three groups, specific contrast F(1, 151) 5 9.1, p < .01."
"912","Numeracy and Decision Making_2006_A+172","The highly numerate had less negative feelings about the 7/36 chances of winning than the less numerate did (mean affect 5 0.0 and —0.6, respectively), t(169) 5 2.7, p < .01, d 5 0.44."
"913","Numeracy and Decision Making_2006_A+173","They also reported more clear feelings about the 7/36 chances of winning (mean affective precision 5 4.5 and 3.9, respectively), t(149) 5 2.4, p < .05, d 5 0.38."
"914","Numeracy and Decision Making_2006_A+174","The highly numerate had more positive affect toward the $9 win in the loss condition than in the no-loss condition, whereas the less numerate showed no sig- nificant differences in affect between the conditions, mean af- fect 5 1.9 and 1.3 for the highly numerate in the loss and no-loss conditions, t(89) 5 2.3, p < .05, d 5 0.47, and mean affect 5 1.0 and 1.3 for the less numerate in the same conditions, n.s."
"915","Numeracy and Decision Making_2006_A+175","Af- fective precision to the $9 showed no significant differences."
"916","Numeracy and Decision Making_2006_A+176","In summary, the highly numerate found the loss bet more at- tractive than the no-loss bet; participants lower in numeracy rated the loss and no-loss bets as equally attractive."
"917","Numeracy and Decision Making_2006_A+177","These  ﬁndings suggest that the highly numerate may sometimes make worse decisions than the less numerate (although it could be argued that the small loss allowed only the highly numerate to recognize the goodness of this positive expected-value bet)."
"918","Numeracy and Decision Making_2006_A+178","The difference between the groups was linked with different feelings that they derived from the numbers."
"919","Numeracy and Decision Making_2006_A+179","The highly numerate had more clear and less negative affect toward the 7/36 chances of winning."
"920","Numeracy and Decision Making_2006_A+180","In addition, they had greater positive affect toward the $9, particularly in the loss condition."
"921","Numeracy and Decision Making_2006_A+181","These results are consistent with our hypothesis that com- pared with the less numerate, the highly numerate tend to derive more affective meaning (generally stronger or more precise af- fective meaning) from probabilities and numerical comparisons."
"922","Numeracy and Decision Making_2006_A+182","We were also interested, however, in whether these affective differences mediated the impact of numeracy on the attrac- tiveness ratings."
"923","Numeracy and Decision Making_2006_A+183","To do this, we examined whether ratings of affect toward the 7/36 chance of winning mediated any main effect of numeracy on attractiveness ratings."
"924","Numeracy and Decision Making_2006_A+184","First, a regression of the attractiveness scores indicated a significant main effect of numeracy on attractiveness, F(1, 169) 5 8.0, p < .01."
"925","Numeracy and Decision Making_2006_A+185","Second, in a regression of affect toward the 7/36 chances of winning, high- numeracy participants had less negative affect toward the 7/36 chances than those who were less numerate, F(1, 169) 5 7.2, p < .01."
"926","Numeracy and Decision Making_2006_A+186","A ﬁnal regression of attractiveness ratings included affect to the 7/36 chances and numeracy as independent vari- ables."
"927","Numeracy and Decision Making_2006_A+187","Consistent with the hypothesized mediation, the inﬂuence of numeracy on attractiveness was no longer significant, but participants with greater positive affect toward the 7/36 chance rated the bet as more attractive, b 5 1.4, t(1) 5 5.3, p < .001; Sobel z 5 2.4, p < .05."
"928","Numeracy and Decision Making_2006_A+188","Precision of affect toward the 7/36 chance did not demonstrate mediation."
"929","Numeracy and Decision Making_2006_A+189","Finally, we tested whether ratings of affect toward the $9 win mediated the effect of high numeracy on the differential at- tractiveness of the loss and no-loss bets."
"930","Numeracy and Decision Making_2006_A+190","We ﬁrst demonstrated that high-numeracy participants in the loss condition rated their affect toward the $9 win as more positive than other participants did, F(1, 169) 5 8.5, p < .01."
"931","Numeracy and Decision Making_2006_A+191","A second regression showed that both the numeracy-by-condition interaction and affect toward the $9 were significant predictors of attractiveness ratings."
"932","Numeracy and Decision Making_2006_A+192","Af- fect toward the $9 appeared to partially mediate the relation between the numeracy-by-condition interaction and attractive- ness ratings, Sobel z 5 1.7, p < .10."
"933","Numeracy and Decision Making_2006_A+193","There was no evidence that affective precision toward the $9 mediated attractiveness rat- ings."
"934","Numeracy and Decision Making_2006_A+194","GENERAL DISCUSSION A series of four studies explored how the ability to understand and transform probability numbers relates to performance on judgment and decision tasks."
"935","Numeracy and Decision Making_2006_A+195","Each task involved the processing of numbers; some tasks involved the processing of affect from the numbers themselves or from a competing source."
"936","Numeracy and Decision Making_2006_A+196","Findings from Studies 1 and 2 were consistent with our hypothesis that com- pared with low-numeracy adults, high-numeracy adults are more likely to retrieve and use appropriate numerical principles and transform numbers presented in one frame to a different frame."
"937","Numeracy and Decision Making_2006_A+197","We believe that low-numeracy decision makers are left with information that is less complete and less understood, lacking in the complexity and richness available to the more numerate."
"938","Numeracy and Decision Making_2006_A+198","Results from Studies 3 and 4 were consistent with our hypothesis that the highly numerate tend to draw more affective meaning from probabilities and numerical comparisons than the less numerate do."
"939","Numeracy and Decision Making_2006_A+199","Study 3 demonstrated that the less numerate were more inﬂuenced by an irrelevant affective source, perhaps because they drew less precise affective meaning from relevant numbers."
"940","Numeracy and Decision Making_2006_A+200","In Study 4, the inﬂuence of numeracy on the attrac- tiveness of the bet was partially mediated by affect."
"941","Numeracy and Decision Making_2006_A+201","The alter- native hypothesis that numeracy’s effect on decisions is due to general intelligence was not supported by these studies."
"942","Numeracy and Decision Making_2006_A+202","The present research is an initial attempt to examine the roles of numeracy and affect in decision making."
"943","Numeracy and Decision Making_2006_A+203","We examined the extent to which numerical ability serves as a mediator of deci- sion performance (helping performance in some situations and hurting performance in others)."
"944","Numeracy and Decision Making_2006_A+204","Our measure of numeracy re- quires further development, but demonstrated fairly strong re- lations with decisions nonetheless."
"945","Numeracy and Decision Making_2006_A+205","We also examined whether numeracy inﬂuences affect and affective precision and found that affect partially mediates the inﬂuence of numeracy in some decisions."
"946","Numeracy and Decision Making_2006_A+206","This research adds to the growing body of knowledge concerning how affective and deliberative ways of thinking may inﬂuence important effects in decision making."
"947","Numeracy and Decision Making_2006_A+207","It also demon- strates that individuals may differ in the type of assistance they need in making decisions."
"948","Numeracy and Decision Making_2006_A+208","Those low in numerical ability may need different decision aids than those high in numerical ability."
"949","Numeracy and Decision Making_2006_A+209","Acknowledgments—We thank Yuval Rottenstreich, Isaac Lipkus, Robert Mauro, and Barbara Fasolo."
"950","Numeracy and Decision Making_2006_A+210","This work was supported by the National Science Foundation (0339204)."
"951","Numeracy and Decision Making_2006_A+221","Conﬂict between intuitive and rational processing: When people behave against their better judgment."
"952","Numeracy and Decision Making_2006_A+225","Integration of the cognitive and the psychodynamic unconscious."
"953","Numeracy and Decision Making_2006_A+229","The effect of numerical statements of risk on trust and comfort with hypothet- ical physician risk communication."
"954","Numeracy and Decision Making_2006_A+233","Inﬂuence of numeracy upon patient’s prostate cancer screening outcome probability judgments."
"955","Numeracy and Decision Making_2006_A+234","Paper presented at the annual meeting of the Society for Judgment and Decision Making, Vancouver, British Columbia, Canada."
"956","Numeracy and Decision Making_2006_A+237","The evaluability hypothesis: An explanation for preference reversals between joint and separate evaluations of alternatives."
"957","Numeracy and Decision Making_2006_A+238","Organizational Behavior and Human Decision Processes, 46, 247–257."
"958","Numeracy and Decision Making_2006_A+241","Adult literacy in America: A ﬁrst look at the ﬁndings of the National Adult Literacy Survey (3rd ed., NCES 1993-275)."
"959","Numeracy and Decision Making_2006_A+243","Department of Education, Ofﬁce of Educational Research and Improvement, National Center for Education Statistics."
"960","Numeracy and Decision Making_2006_A+246","How consumers are affected by the framing of attribute information before and after consuming the product."
"961","Numeracy and Decision Making_2006_A+250","All frames are not created equal: A typology and critical analysis of framing effects."
"962","Numeracy and Decision Making_2006_A+251","Organizational Behavior and Human Decision Processes, 76, 149– 188."
"963","Numeracy and Decision Making_2006_A+254","General performance on a numeracy scale among highly educated samples."
"964","Numeracy and Decision Making_2006_A+262","On the practice of dichotomization of quantitative variables."
"965","Numeracy and Decision Making_2006_A+267","Organizational Behavior and Human Decision Processes, 51, 313–343."
"966","Numeracy and Decision Making_2006_A+280","Fuzzy-trace theory and children’s acquisition of scientific and mathematical concepts."
"967","Numeracy and Decision Making_2006_A+284","Decision framing: Moderating effects of individual differences and cognitive processing."
"968","Numeracy and Decision Making_2006_A+292","Risk as analysis and risk as feelings: Some thoughts about affect, rea- son, risk, and rationality."
"969","Numeracy and Decision Making_2006_A+296","Violence risk as- sessment and risk communication: The effects of using actual cases, providing instructions, and employing probability vs. fre- quency formats."
"970","Numeracy and Decision Making_2006_A+304","Women’s perceptions of breast cancer risk: How you ask matters."
"971","Numeracy and Decision Making_2006_A+310","(RECEIVED 4/15/05; ACCEPTED 7/14/05; FINAL MATERIALS RECEIVED 8/3/05)"
"972","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+2","However, recent research has demonstrated that statistical numeracy goes beyond simple comprehension of numbers and mathematical operations."
"973","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+3","On the contrary to previous studies that were focused on emotions integral to risky prospects, we hypothe- sized that highly numerate individuals would exhibit more linear probability weighting because they would be less biased by incidental and decision-irrelevant affect."
"974","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+4","Participants were instructed to make a series of insurance decisions preceded by negative (i.e., fear-inducing) or neutral stimuli."
"975","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+5","We found that incidental negative affect increased the curvature of the probability weighting function (PWF)."
"976","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+6","Interestingly, this effect was significant only for less numerate individuals, while probability weighting in more numerate people was not altered by decision-irrelevant affect."
"977","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+10","Introduction Comprehension of numbers and numerical operations bears obvious psychological, health and economic benefits for everyday decisions."
"978","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+11","For instance, understanding information about a 30% chance of heavy rain tomorrow enables one to avoid getting wet  on the way to an important meeting, similarly knowing the exact chances of car theft in the neighborhood can help to manage the risk by purchasing an insurance policy at an attractive price."
"979","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+12","Although efficient processing of numerical information (e.g., prob- ability) could lead to superior decisions, many people systemati- cally fail to do so and thus, tend  to  make  suboptimal  choices  (e.g., some people pay more for a medical treatment with a 1 in  100 chance of producing side-effects than a less risky alternative, e.g., a treatment with a 1 in 1000 chance of  producing  side- effects, because the latter elicits more negative affective images, Traczyk, Sobkow, & Zaleskiewicz, 2015)."
"980","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+13","In this study, we investigated how incidental affect distorts the  optimal valuation  of risky prospects and whether this process could be moderated by numerical abilities."
"981","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+14","Numeracy and affect A growing body of research has demonstrated that  people differ  in statistical numeracy1—the basic ability to understand and process statistical and probability information (Reyna, Nelson, Han, & Dieckmann, 2009)."
"982","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+15","High numeracy has been shown to be advanta- geous for superior decision making (Cokely & Kelley, 2009; Ghazal, Cokely, & Garcia-Retamero, 2014)."
"983","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+16","For example, highly numerate individuals are more likely to choose an option with a higher expected value (Pachur & Galesic, 2013), more resistant to framing effects (Peters et al., 2006), show better metacognitive judgment calibration when inferring the predictive value of medical tests (Garcia-Retamero, Cokely, & Hoffrage, 2015), perform better in Bayesian reasoning tasks (Chapman & Liu, 2009), and are less  inclined to neglect the denominator in probabilistic  judgments  (Reyna & Brainerd, 2008)."
"984","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+17","One explanation for these results is that highly numerate individuals exhibit a more linear psychophysical response to changes in value and probability (Millroth & Juslin,  2015), and show more exact  mappings  of  symbolic  numbers  (Schley & Peters, 2014)."
"985","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+18","However, an influential finding is that numeracy extends beyond simple comprehension of numbers and mathematical operations (Peters, 2012)."
"986","Numeracy moderates the influence of task-irrelevant affect on probability weighting_2016_A+22","1 Statistical numeracy is a subset of abilities associated with a broader construct – the ability to use mathematics and numbers in everyday contexts."
