"","titles","contents"
"638","For reference to single investigations or publications in the past, the simple past tense is used","An experimental demonstration of this effect was first carried out by"
"639","For reference to single investigations or publications in the past, the simple past tense is used","The first experimental realisation of"
"640","For reference to single investigations or publications in the past, the simple past tense is used","The first systematic study of X was reported by Patel et al"
"641","For reference to single investigations or publications in the past, the simple past tense is used","Smith and Jones (1994) were the first to describe X, and reported that"
"642","For reference to single investigations or publications in the past, the simple past tense is used","X as originally isolated from Y in a soil sample from"
"643","For reference to single investigations or publications in the past, the simple past tense is used","published a paper in which they described"
"644","For reference to single investigations or publications in the past, the simple past tense is used","In the 1950s, Gunnar Myrdal pointed to some of the ways in which"
"645","For reference to single investigations or publications in the past, the simple past tense is used","In 1981, Smith and co-workers demonstrated that X induced in vitro resistance to"
"646","For reference to single investigations or publications in the past, the simple past tense is used","made several amino acid esters of X and evaluated them as"
"647","For reference to single investigations or publications in the past, the simple past tense is used","demonstrated that replacement of H2O with heavy water led to"
"648","For reference to single investigations or publications in the past, the simple past tense is used","Thirty years later, Smith (1974) reported three cases of Candida Albicans which"
"649","Establishing the importance of the topic for the world or society","X has a pivotal role in"
"650","Establishing the importance of the topic for the world or society","X is frequently prescribed for"
"651","Establishing the importance of the topic for the world or society","X is fast becoming a key instrument in"
"652","Establishing the importance of the topic for the world or society","X plays a vital role in the metabolism of"
"653","Establishing the importance of the topic for the world or society","X plays a critical role in the maintenance of"
"654","Establishing the importance of the topic for the world or society","Xs have emerged as powerful platforms for"
"655","Establishing the importance of the topic for the world or society","X is essential for a wide range of technologies"
"656","Establishing the importance of the topic for the world or society","X can play an important role in addressing the issue of"
"657","Establishing the importance of the topic for the world or society","Xs are the most potent anti-inflammatory agents known"
"658","Establishing the importance of the topic for the world or society","There is evidence that X plays a crucial role in regulating"
"659","Establishing the importance of the topic for the world or society","X is a common condition which has considerable impact on"
"660","Establishing the importance of the topic for the world or society","In the new global economy, X has become a central issue for"
"661","Establishing the importance of the topic for the world or society","Evidence suggests that X is among the most important factors for"
"662","Establishing the importance of the topic for the world or society","X is important for a wide range of scientific and industrial processes"
"663","Establishing the importance of the topic for the world or society","Xs are one of the most widely used groups of antibacterial agents and"
"664","Establishing the importance of the topic for the world or society","There is a growing body of literature that recognises the importance of"
"665","Establishing the importance of the topic for the world or society","X is an important component in the climate system, and plays a key role in Y"
"666","Establishing the importance of the topic for the world or society","In the history of development economics, X has been thought of as a key factor in"
"667","Establishing the importance of the topic for the world or society","Xs are one of the most widely used groups of Y and have been extensively used for"
"668","Establishing the importance of the topic for the discipline","X is of interest because"
"669","Establishing the importance of the topic for the discipline","X is a classic problem in"
"670","Establishing the importance of the topic for the discipline","A primary concern of X is"
"671","Establishing the importance of the topic for the discipline","X is a dominant feature of"
"672","Establishing the importance of the topic for the discipline","X is an important aspect of"
"673","Establishing the importance of the topic for the discipline","X is a fundamental property of"
"674","Establishing the importance of the topic for the discipline","The concepts of X and Y are central to"
"675","Establishing the importance of the topic for the discipline","X is at the heart of our understanding of"
"676","Establishing the importance of the topic for the discipline","Investigating X is a continuing concern within"
"677","Establishing the importance of the topic for the discipline","X is a major area of interest within the field of"
"678","Establishing the importance of the topic for the discipline","X has been studied by many researchers using"
"679","Establishing the importance of the topic for the discipline","X has been an object of research since the 1960s"
"680","Establishing the importance of the topic for the discipline","X has been the subject of many classic studies in"
"681","Establishing the importance of the topic for the discipline","X has been instrumental in our understanding of"
"682","Establishing the importance of the topic for the discipline","The theory of X provides a useful account of how"
"683","Establishing the importance of the topic for the discipline","Central to the entire discipline of X is the concept of"
"684","Establishing the importance of the topic for the discipline","X is an increasingly important area in applied linguistics"
"685","Establishing the importance of the topic for the discipline","The issue of X has received considerable critical attention"
"686","Establishing the importance of the topic for the discipline","X has long been a question of great interest in a wide range of fields"
"687","Establishing the importance of the topic (time frame given)","Recently, there has been renewed interest in"
"688","Establishing the importance of the topic (time frame given)","Traditionally, Xs have subscribed to the belief that"
"689","Establishing the importance of the topic (time frame given)","One of the most important events of the 1970s was"
"690","Establishing the importance of the topic (time frame given)","In recent years, there has been an increasing interest in"
"691","Establishing the importance of the topic (time frame given)","Recent developments in X have heightened the need for"
"692","Establishing the importance of the topic (time frame given)","The last two decades have seen a growing trend towards"
"693","Establishing the importance of the topic (time frame given)","Recently, researchers have shown an increased interest in"
"694","Establishing the importance of the topic (time frame given)","Over the past century, there has been a dramatic increase in"
"695","Establishing the importance of the topic (time frame given)","Recent trends in X have led to a proliferation of studies that"
"696","Establishing the importance of the topic (time frame given)","X proved an important literary genre in the early Y community"
"697","Establishing the importance of the topic (time frame given)","The past decade has seen the rapid development of X in many"
"698","Establishing the importance of the topic (time frame given)","Since it was reported in 2005, X has been attracting a lot of interest"
"699","Establishing the importance of the topic (time frame given)","Recently, a considerable literature has grown up around the theme of"
"700","Establishing the importance of the topic (time frame given)","Recent developments in the field of X have led to a renewed interest in"
"701","Establishing the importance of the topic (time frame given)","The past thirty years have seen increasingly rapid advances in the field of"
"702","Establishing the importance of the topic (time frame given)","The changes experienced by X over the past decade remain unprecedented"
"703","Establishing the importance of the topic (time frame given)","In light of recent events in X, it is becoming extremely difficult to ignore the existence of"
"704","Establishing the importance of the topic as a problem to be addressed","X is a major problem in"
"705","Establishing the importance of the topic as a problem to be addressed","Of particular concern is"
"706","Establishing the importance of the topic as a problem to be addressed","One of the main obstacles"
"707","Establishing the importance of the topic as a problem to be addressed","One of the greatest challenges"
"708","Establishing the importance of the topic as a problem to be addressed","A key issue is the safe disposal of"
"709","Establishing the importance of the topic as a problem to be addressed","The main disadvantage of X is that"
"710","Establishing the importance of the topic as a problem to be addressed","X is associated with increased risk of"
"711","Establishing the importance of the topic as a problem to be addressed","X impacts negatively upon a range of"
"712","Establishing the importance of the topic as a problem to be addressed","X is a common disorder characterised by"
"713","Establishing the importance of the topic as a problem to be addressed","It is now well established that X can impair"
"714","Establishing the importance of the topic as a problem to be addressed","X has led to the decline in the population of"
"715","Establishing the importance of the topic as a problem to be addressed","X is a growing public health concern worldwide"
"716","Establishing the importance of the topic as a problem to be addressed","The main challenge faced by many researchers is the"
"717","Establishing the importance of the topic as a problem to be addressed","X is one of the most frequently stated problems with"
"718","Establishing the importance of the topic as a problem to be addressed","Lack of X has existed as a health problem for many years"
"719","Establishing the importance of the topic as a problem to be addressed","X is a major environmental problem, and the main cause of"
"720","Establishing the importance of the topic as a problem to be addressed","Xs are one of the most rapidly declining groups of insects in"
"721","Establishing the importance of the topic as a problem to be addressed","X is the leading cause of death in western-industrialised countries"
"722","Establishing the importance of the topic as a problem to be addressed","Exposure to X has been shown to be related to adverse effects in"
"723","Establishing the importance of the topic as a problem to be addressed","There is increasing concern that some Xs are being disadvantaged"
"724","Establishing the importance of the topic as a problem to be addressed","There is an urgent need to address the safety problems caused by"
"725","Establishing the importance of the topic as a problem to be addressed","X is too expensive to be used for"
"726","Establishing the importance of the topic as a problem to be addressed","X has accentuated the problem of"
"727","Establishing the importance of the topic as a problem to be addressed","the performance of X is limited by"
"728","Establishing the importance of the topic as a problem to be addressed","X could be a contributing factor to"
"729","Establishing the importance of the topic as a problem to be addressed","the synthesis of X remains a major challenge"
"730","Establishing the importance of the topic as a problem to be addressed","X can be extremely harmful to human beings"
"731","Establishing the importance of the topic as a problem to be addressed","research has consistently shown that X lacks"
"732","Establishing the importance of the topic as a problem to be addressed","a major problem with this kind of application is"
"733","Establishing the importance of the topic as a problem to be addressed","the determination of X is technically challenging"
"734","Establishing the importance of the topic as a problem to be addressed","current methods of X have proven to be unreliable"
"735","Establishing the importance of the topic as a problem to be addressed","these rapid changes are having a serious effect on"
"736","Establishing the importance of the topic as a problem to be addressed","X can be adversely affected under certain conditions"
"737","Establishing the importance of the topic as a problem to be addressed","observations have indicated a serious decline in the population of"
"738","Referring to previous work to establish what is already known","Recent evidence suggests that"
"739","Referring to previous work to establish what is already known","Extensive research has shown that"
"740","Referring to previous work to establish what is already known","Studies of X show the importance of"
"741","Referring to previous work to establish what is already known","It has previously been observed that"
"742","Referring to previous work to establish what is already known","Several attempts have been made to"
"743","Referring to previous work to establish what is already known","Previous research has established that"
"744","Referring to previous work to establish what is already known","Data from several studies suggest that"
"745","Referring to previous work to establish what is already known","Recent work by historians has established that"
"746","Referring to previous work to establish what is already known","Previous research comparing X and Y has found"
"747","Referring to previous work to establish what is already known","The existing body of research on X suggests that"
"748","Referring to previous work to establish what is already known","There is a growing body of literature that recognises"
"749","Referring to previous work to establish what is already known","Several theories on the origin of X have been proposed"
"750","Referring to previous work to establish what is already known","Existing research recognises the critical role played by"
"751","Referring to previous work to establish what is already known","It is now well established from a variety of studies, that"
"752","Referring to previous work to establish what is already known","Recently investigators have examined the effects of X on Y"
"753","Referring to previous work to establish what is already known","Surveys such as that conducted by Smith (1988) have shown that"
"754","Referring to previous work to establish what is already known","Factors found to be influencing X have been explored in several studies"
"755","Referring to previous work to establish what is already known","A number of cross-sectional studies suggest an association between X and Y"
"756","Referring to previous work to establish what is already known","Studies over the past two decades have provided important information on"
"757","Referring to previous work to establish what is already known","A considerable amount of literature has been published on X"
"758","Identifying a controversy within the field of study","A much debated question is whether"
"759","Identifying a controversy within the field of study","One major issue in early X research concerned"
"760","Identifying a controversy within the field of study","To date there has been little agreement on what"
"761","Identifying a controversy within the field of study","The issue has grown in importance in light of recent"
"762","Identifying a controversy within the field of study","One of the most significant current discussions in X is"
"763","Identifying a controversy within the field of study","In the literature on X, the relative importance of Y is debated"
"764","Identifying a controversy within the field of study","One observer has already drawn attention to the paradox in"
"765","Identifying a controversy within the field of study","Questions have been raised about the use of animal subjects in"
"766","Identifying a controversy within the field of study","In many Xs, a debate is taking place between Ys and Zs concerning"
"767","Identifying a controversy within the field of study","Debate continues about the best strategies for the management of"
"768","Identifying a controversy within the field of study","This concept has recently been challenged by X studies demonstrating"
"769","Identifying a controversy within the field of study","The debate about X has gained fresh prominence with many arguing that"
"770","Identifying a controversy within the field of study","Scholars have long debated the impact of X on the creation and diffusion of"
"771","Identifying a controversy within the field of study","More recently, literature has emerged that offers contradictory findings about"
"772","Identifying a controversy within the field of study","One major theoretical issue that has dominated the field for many years concerns"
"773","Identifying a controversy within the field of study","The controversy about scientific evidence for X has raged unabated for over a century"
"774","Identifying a controversy within the field of study","The issue of X has been a controversial and much disputed subject within the field of"
"775","Identifying a controversy within the field of study","The causes of X have been the subject of intense debate within the scientific community"
"776","Identifying a controversy within the field of study","In the literature on X, the relative importance of Y has been subject to considerable discussion"
"777","Explaining the inadequacies of previous studies","Previous studies of X have not dealt with"
"778","Explaining the inadequacies of previous studies","Researchers have not treated X in much detail"
"779","Explaining the inadequacies of previous studies","Such expositions are unsatisfactory because they"
"780","Explaining the inadequacies of previous studies","Most studies in the field of X have only focused on"
"781","Explaining the inadequacies of previous studies","Such approaches, however, have failed to address"
"782","Explaining the inadequacies of previous studies","Previous published studies are limited to local surveys"
"783","Explaining the inadequacies of previous studies","Half of the studies evaluated failed to specify whether"
"784","Explaining the inadequacies of previous studies","The research to date has tended to focus on X rather than Y"
"785","Explaining the inadequacies of previous studies","Previously published studies on the effect of X are not consistent"
"786","Explaining the inadequacies of previous studies","Smith’s analysis does not take account of"
"787","Explaining the inadequacies of previous studies",", nor does she examine"
"788","Explaining the inadequacies of previous studies","The existing accounts fail to resolve the contradiction between X and Y"
"789","Explaining the inadequacies of previous studies","However, much of the research up to now has been descriptive in nature"
"790","Explaining the inadequacies of previous studies","The generalisability of much published research on this issue is problematic"
"791","Explaining the inadequacies of previous studies","Research on the subject has been mostly restricted to limited comparisons of"
"792","Explaining the inadequacies of previous studies","However, few writers have been able to draw on any systematic research into"
"793","Explaining the inadequacies of previous studies","Short-term studies such as these do not necessarily show subtle changes over time"
"794","Explaining the inadequacies of previous studies","Although extensive research has been carried out on X, no single study exists which"
"795","Explaining the inadequacies of previous studies","However, these results were based upon data from over 30 years ago and it is unclear if"
"796","Explaining the inadequacies of previous studies","The experimental data are rather controversial, and there is no general agreement about"
"797","Explaining the inadequacies of previous studies","Most studies in X have only been carried out in a small number of areas"
"798","Identifying the paucity or lack of previous research","There is little published data on"
"799","Identifying the paucity or lack of previous research","No previous study has investigated X"
"800","Identifying the paucity or lack of previous research","The use of X has not been investigated"
"801","Identifying the paucity or lack of previous research","There has been no detailed investigation of"
"802","Identifying the paucity or lack of previous research","There has been little quantitative analysis of"
"803","Identifying the paucity or lack of previous research","Data about the efficacy and safety of X are limited"
"804","Identifying the paucity or lack of previous research","Up to now, far too little attention has been paid to"
"805","Identifying the paucity or lack of previous research","A search of the literature revealed few studies which"
"806","Identifying the paucity or lack of previous research","The impact of X on Y is understudied, particularly for"
"807","Identifying the paucity or lack of previous research","Few studies have investigated X in any systematic way"
"808","Identifying the paucity or lack of previous research","In addition, no research has been found that surveyed"
"809","Identifying the paucity or lack of previous research","So far, however, there has been little discussion about"
"810","Identifying the paucity or lack of previous research","So far, very little attention has been paid to the role of X"
"811","Identifying the paucity or lack of previous research","Surprisingly, the effects of X have not been closely examined"
"812","Identifying the paucity or lack of previous research","In contrast to X, there is much less information about effects of"
"813","Identifying the paucity or lack of previous research","A systematic understanding of how X contributes to Y is still lacking"
"814","Identifying the paucity or lack of previous research","Despite the importance of X, there remains a paucity of evidence on"
"815","Identifying the paucity or lack of previous research","There have been no controlled studies which compare differences in"
"816","Identifying the paucity or lack of previous research","To date, the problem has received scant attention in the research literatureTo date, there are few studies that have investigated the association between"
"817","Identifying the paucity or lack of previous research","some research has been carried out on X,"
"818","Identifying the paucity or lack of previous research","no single study exists which"
"819","Identifying the paucity or lack of previous research","no studies have been found which"
"820","Identifying the paucity or lack of previous research","no controlled studies have been reported"
"821","Identifying the paucity or lack of previous research","only two studies have attempted to investigate"
"822","Identifying the paucity or lack of previous research","there have been few empirical investigations into"
"823","Identifying the paucity or lack of previous research","there is still very little scientific understanding of"
"824","Identifying the paucity or lack of previous research","the mechanism by which"
"825","Identifying the paucity or lack of previous research","has not been established"
"826","Identifying a knowledge gap in the field of study","It is still not known whether"
"827","Identifying a knowledge gap in the field of study","much less is known about X"
"828","Identifying a knowledge gap in the field of study","The nature of X remains unclear"
"829","Identifying a knowledge gap in the field of study","Currently, there are no data on"
"830","Identifying a knowledge gap in the field of study","What is less clear is the nature of"
"831","Identifying a knowledge gap in the field of study","Very little is currently known about X in"
"832","Identifying a knowledge gap in the field of study","Research to date has not yet determined"
"833","Identifying a knowledge gap in the field of study","What is not yet clear is the impact of X on"
"834","Identifying a knowledge gap in the field of study","There is still uncertainty, however, whether"
"835","Identifying a knowledge gap in the field of study","The response of X to Y is not fully understood"
"836","Identifying a knowledge gap in the field of study","Causal factors leading to X remain speculative"
"837","Identifying a knowledge gap in the field of study","The neurobiological basis of X is poorly understood"
"838","Identifying a knowledge gap in the field of study","Little is known about X and it is not clear what factors"
"839","Identifying a knowledge gap in the field of study","To date, only a limited number of Xs have been identified"
"840","Identifying a knowledge gap in the field of study","The mechanisms that underpin X are not fully understood"
"841","Identifying a knowledge gap in the field of study","Much uncertainty still exists about the relationship between"
"842","Identifying a knowledge gap in the field of study","This indicates a need to understand the various perceptions of X that exist among"
"843","Identifying a knowledge gap in the field of study","It is now well established that"
"844","Identifying a knowledge gap in the field of study","However, the influence of X on Y has remained unclear"
"845","Identifying a knowledge gap in the field of study","very little is known about X in"
"846","Identifying a knowledge gap in the field of study","few studies have investigated"
"847","Identifying a knowledge gap in the field of study","the nature of X remains unclear"
"848","Identifying a knowledge gap in the field of study","much less is known about how"
"849","Identifying a knowledge gap in the field of study","the use of X has not been investigated"
"850","Identifying a knowledge gap in the field of study","far too little attention has been paid to"
"851","Identifying a knowledge gap in the field of study","the behaviour of X has not yet been investigated"
"852","Identifying a knowledge gap in the field of study","the evidence for this relationship is inconclusive"
"853","Identifying a knowledge gap in the field of study","much uncertainty still exists about the relation between"
"854","Identifying a knowledge gap in the field of study","there have been no controlled studies which compare differences in"
"855","Stating the focus, aim, or argument of a short paper","In this paper, I argue that"
"856","Stating the focus, aim, or argument of a short paper","This paper attempts to show that"
"857","Stating the focus, aim, or argument of a short paper","The central thesis of this paper is that"
"858","Stating the focus, aim, or argument of a short paper","In the pages that follow, it will be argued that"
"859","Stating the focus, aim, or argument of a short paper","In this essay, I attempt to defend the view that"
"860","Stating the focus, aim, or argument of a short paper","The aim of this essay is to explore the relationship between"
"861","Stating the focus, aim, or argument of a short paper","The purpose of this paper is to review recent research into the"
"862","Stating the focus, aim, or argument of a short paper","discusses the case of"
"863","Stating the focus, aim, or argument of a short paper","analyses the impact of"
"864","Stating the focus, aim, or argument of a short paper","attempts to show that"
"865","Stating the focus, aim, or argument of a short paper","contests the claim that"
"866","Stating the focus, aim, or argument of a short paper","provides an overview of"
"867","Stating the focus, aim, or argument of a short paper","reviews the evidence for"
"868","Stating the focus, aim, or argument of a short paper","reports on a study which"
"869","Stating the focus, aim, or argument of a short paper","traces the development of"
"870","Stating the focus, aim, or argument of a short paper","explores the ways in which"
"871","Stating the focus, aim, or argument of a short paper","assesses the significance of"
"872","Stating the focus, aim, or argument of a short paper","highlights the importance of"
"873","Stating the focus, aim, or argument of a short paper","considers the implications of"
"874","Stating the focus, aim, or argument of a short paper","critically examines the view that"
"875","Stating the focus, aim, or argument of a short paper","proposes a new methodology for"
"876","Stating the focus, aim, or argument of a short paper","examines the relationship between"
"877","Stating the focus, aim, or argument of a short paper","compares the different ways in which"
"878","Stating the focus, aim, or argument of a short paper","investigates the factors that determine"
"879","Stating the focus, aim, or argument of a short paper","describes the design and implementation of"
"880","Stating the purpose of the current research","The specific objective of this study was to"
"881","Stating the purpose of the current research","An objective of this study was to investigate"
"882","Stating the purpose of the current research","This thesis will examine the way in which the"
"883","Stating the purpose of the current research","This study set out to investigate the usefulness of"
"884","Stating the purpose of the current research","This dissertation seeks to explain the development of"
"885","Stating the purpose of the current research","This case study seeks to examine the changing nature of"
"886","Stating the purpose of the current research","The objectives of this research are to determine whether"
"887","Stating the purpose of the current research","This prospective study was designed to investigate the use of"
"888","Stating the purpose of the current research","This research examines the emerging role of X in the context of"
"889","Stating the purpose of the current research","This study systematically reviews the data for"
"890","Stating the purpose of the current research","Drawing upon two strands of research into X, this study attempts to"
"891","Stating the purpose of the current research","This thesis intends to determine the extent to which"
"892","Stating the purpose of the current research","This dissertation aims to unravel some of the mysteries surrounding"
"893","Stating the purpose of the current research","This study therefore set out to assess the effect of X"
"894","Stating the purpose of the current research","The main aim of this study is to investigate the differences between X and Y"
"895","Stating the purpose of the current research","Part of the aim of this project is to develop software that is compatible with"
"896","Stating the purpose of the current research","There are two primary aims of this study: 1"
"897","Stating the purpose of the current research","This study seeks to obtain data which will help to address these research gaps"
"898","Stating the purpose of the current research","One purpose of this study was to assess the extent to which these factors were"
"899","Stating the purpose of the current research","The purpose of this investigation is to explore the relationship between X and Y"
"900","Describing the research design and the methods used","Data for this study were collected using"
"901","Describing the research design and the methods used","Five works will be examined, all of which"
"902","Describing the research design and the methods used","This investigation takes the form of a case-study of the"
"903","Describing the research design and the methods used","This study was exploratory and interpretative in nature"
"904","Describing the research design and the methods used","This study uses a qualitative case study approach to investigate"
"905","Describing the research design and the methods used","The research data in this thesis is drawn from four main sources:"
"906","Describing the research design and the methods used","The approach to empirical research adopted for this study was one of"
"907","Describing the research design and the methods used","This dissertation follows a case-study design, with in-depth analysis of"
"908","Describing the research design and the methods used","By employing qualitative modes of enquiry, I attempt to illuminate the"
"909","Describing the research design and the methods used","Qualitative and quantitative research designs were adopted to provide"
"910","Describing the research design and the methods used","Both qualitative and quantitative methods were used in this investigation"
"911","Describing the research design and the methods used","A holistic approach is utilised, integrating X, Y and Z material to establish"
"912","Describing the research design and the methods used","The study was conducted in the form of a survey, with data being gathered via"
"913","Describing the research design and the methods used","The methodological approach taken in this study is a mixed methodology based on"
"914","Describing the research design and the methods used","A combination of quantitative and qualitative approaches was used in the data analysis"
"915","Explaining the significance of the current study","This is the first study to"
"916","Explaining the significance of the current study","This study provides new insights into"
"917","Explaining the significance of the current study","This work will generate fresh insight into"
"918","Explaining the significance of the current study","The study offers some important insights into"
"919","Explaining the significance of the current study","Understanding the link between X and Y will help"
"920","Explaining the significance of the current study","This is the first study to undertake a longitudinal analysis of"
"921","Explaining the significance of the current study","The present research explores, for the first time, the effects of"
"922","Explaining the significance of the current study","The importance and originality of this study are that it explores"
"923","Explaining the significance of the current study","The findings should make an important contribution to the field of"
"924","Explaining the significance of the current study","Characterisation of X is important for our increased understanding of"
"925","Explaining the significance of the current study","It is hoped that this research will contribute to a deeper understanding of"
"926","Explaining the significance of the current study","This study aims to contribute to this growing area of research by exploring"
"927","Explaining the significance of the current study","This project provided an important opportunity to advance the understanding of"
"928","Explaining the significance of the current study","Therefore, this study makes a major contribution to research on X by demonstrating"
"929","Explaining the significance of the current study","There are several important areas where this study makes an original contribution to"
"930","Explaining the significance of the current study","The experimental work presented here provides one of the first investigations into how"
"931","Describing the limitations of the current study","The thesis does not engage with"
"932","Describing the limitations of the current study","It is not the task of this paper to examine"
"933","Describing the limitations of the current study","This study is unable to encompass the entire"
"934","Describing the limitations of the current study","Establishing X is beyond the scope of this study"
"935","Describing the limitations of the current study","It is beyond the scope of this study to examine the"
"936","Describing the limitations of the current study","A full discussion of X lies beyond the scope of this study"
"937","Describing the limitations of the current study","The reader should bear in mind that the study is based on"
"938","Describing the limitations of the current study","Another potential problem is that the scope of my thesis may be too broad"
"939","Describing the limitations of the current study","Due to practical constraints, this paper cannot provide a comprehensive review of"
"940","Giving reasons for personal interest in the research","I became interested in Xs after reading"
"941","Giving reasons for personal interest in the research","My interest in this area developed while I was"
"942","Giving reasons for personal interest in the research","I have worked closely with X for many years and"
"943","Giving reasons for personal interest in the research","My personal experience of X has prompted this research"
"944","Giving reasons for personal interest in the research","My main reason for choosing this topic is personal interest"
"945","Giving reasons for personal interest in the research","It is my experience of working with X that has driven this research"
"946","Giving reasons for personal interest in the research","This project was conceived during my time working for X"
"947","Giving reasons for personal interest in the research","As a medical advisor, I witnessed"
"948","Giving reasons for personal interest in the research","* sometimes found in the humanities, and the applied human sciences"
"949","Outlining the structure of the paper or dissertation","The first section of this paper will examine"
"950","Outlining the structure of the paper or dissertation","It will then go on to"
"951","Outlining the structure of the paper or dissertation","My thesis is composed of four themed chapters"
"952","Outlining the structure of the paper or dissertation","The essay has been organised in the following way"
"953","Outlining the structure of the paper or dissertation","The remaining part of the paper proceeds as follows:"
"954","Outlining the structure of the paper or dissertation","The main issues addressed in this paper are: a), b) and c)"
"955","Outlining the structure of the paper or dissertation","This paper first gives a brief overview of the recent history of X"
"956","Outlining the structure of the paper or dissertation","This paper has been divided into four parts"
"957","Outlining the structure of the paper or dissertation","The first part deals with"
"958","Outlining the structure of the paper or dissertation","The third chapter is concerned with the methodology used for this study"
"959","Outlining the structure of the paper or dissertation","The overall structure of the study takes the form of six chapters, including"
"960","Outlining the structure of the paper or dissertation","Chapter Four analyses the results of interviews and focus group discussions undertaken during"
"961","Outlining the structure of the paper or dissertation","Chapter Two begins by laying out the theoretical dimensions of the research, and looks at how"
"962","Outlining the structure of the paper or dissertation","The fourth section presents the findings of the research, focusing on the three key themes that"
"963","Explaining key terms used in the current work","(also refer to Defining terms)"
"964","Explaining key terms used in the current work","Throughout this paper, the term ‘X’ will refer to"
"965","Explaining key terms used in the current work","The term ‘X’ will be used in this thesis to refer to"
"966","Explaining key terms used in the current work","Historically, the term ‘X’ has been used to describe"
"967","Explaining key terms used in the current work","It is necessary here to clarify exactly what is meant by"
"968","Explaining key terms used in the current work","The phrase ‘X’ will be used in this study to describe the"
"969","Explaining key terms used in the current work","According to Smith (2002), X can be defined as follows: ‘"
"970","Explaining key terms used in the current work","’In this article, the abbreviation XYZ will be used to refer to"
"971","Explaining key terms used in the current work","Throughout this dissertation, the term ‘X’ will be used to refer to"
"972","Explaining key terms used in the current work","The term ‘X’ is a relatively new name for"
"973","Explaining key terms used in the current work",", commonly referred to as"
"974","Explaining key terms used in the current work","In this essay, the term ‘X’ will be used in its broadest sense to refer to all"
"975","Explaining key terms used in the current work","In this dissertation, the terms ‘X’ and ‘Y’ are used interchangeably to mean"
"976","Explaining key terms used in the current work","While a variety of definitions of the term X have been suggested, this paper will use the definition first suggested by Smith (1968) who saw it as"
"977","General comments on the relevant literature","The literature on X has highlighted several"
"978","General comments on the relevant literature","Different theories exist in the literature regarding"
"979","General comments on the relevant literature","More recent attention has focused on the provision of"
"980","General comments on the relevant literature","There are relatively few historical studies in the area of"
"981","General comments on the relevant literature","A large and growing body of literature has investigated"
"982","General comments on the relevant literature","Much of the literature since the mid-1990s emphasises the"
"983","General comments on the relevant literature","Much of the current literature on X pays particular attention to"
"984","General comments on the relevant literature","There is a large volume of published studies describing the role of"
"985","General comments on the relevant literature","The existing literature on X is extensive and focuses particularly on"
"986","General comments on the relevant literature","There is a relatively small body of literature that is concerned with"
"987","General comments on the relevant literature","The generalisability of much published research on this issue is problematic"
"988","General comments on the relevant literature","A considerable amount of literature has been published on X"
"989","General comments on the relevant literature","Previous research findings into X have been inconsistent and contradictory (Smith, 1996;"
"990","General comments on the relevant literature","The academic literature on X has revealed the emergence of several contrasting themes"
"991","Previous research: a historical perspective","Research into X has a long history"
"992","Previous research: a historical perspective","For many years, this phenomenon was surprisingly neglected by"
"993","Previous research: a historical perspective","Only in the past ten years have studies of X directly addressed how"
"994","Previous research: a historical perspective","Prior to the work of Smith (1983), the role of X was largely unknown"
"995","Previous research: a historical perspective","Over the past decade, most research in X has emphasized the use of"
"996","Previous research: a historical perspective","In recent years, there has been an increasing amount of literature on"
"997","Previous research: a historical perspective","Early examples of research into X include"
"998","Previous research: a historical perspective","(Smith, 1962; Jones, 1974)"
"999","Previous research: a historical perspective","During the past 30 years, much more information has become available on"
"1000","Previous research: a historical perspective","The first serious discussions and analyses of X emerged during the 1970s with"
"1001","Previous research: a historical perspective","Over the past two decades, major advances in molecular biology have allowed"
"1002","Previous research: a historical perspective","Historically, research investigating the factors associated with X has focused on"
"1003","Previous research: a historical perspective","It is only since the work of Smith (2001) that the study of X has gained momentum"
"1004","Previous research: a historical perspective","The construct of X was first articulated by Smith (1977) and popularised in his book:"
"1005","Previous research: a historical perspective","Around the early 1960s, small-scale research and case studies began to emerge linking"
"1006","Previous research: a historical perspective","It was not until the late 1960s that historians considered X worthy of scholarly attention"
"1007","Previous research: a historical perspective","Awareness of X is not recent, having possibly first been described in the 5th century BCE by"
"1008","Previous research: methodological approaches taken","Most research on X has been carried out in"
"1009","Previous research: methodological approaches taken","Most researchers investigating X have utilised"
"1010","Previous research: methodological approaches taken","Using this approach, researchers have been able to"
